code,krName,enName,ipoDate,exchange
121850,코이즈,"KOYJ.CO.,LTD",2012/09/27,KOSDAQ
15710,코콤,"KOCOM CO., LTD",1997/09/30,KOSDAQ
52330,코텍,KORTEK CORPORATION,2001/07/10,KOSDAQ
322780,코퍼스코리아,"COPUS KOREA Co., Ltd.",2019/05/31,KOSDAQ
126600,코프라,"KOPLA Co., LTD.",2010/11/12,KOSDAQ
200130,콜마비앤에이치,"KolmarBNH Co., Ltd",2014/07/23,KOSDAQ
31820,콤텍시스템,ComtecSystems,1997/02/12,KOSPI
192400,쿠쿠홀딩스,"Cuckoo Holdings Co.,Ltd",2014/08/06,KOSPI
284740,쿠쿠홈시스,CUCKOO HOMESYS,2018/01/11,KOSPI
317690,퀀타매트릭스,QuantaMatrix Incorporated,2020/12/09,KOSDAQ
60280,큐렉소,"CUREXO, INC.",2002/07/03,KOSDAQ
15590,큐로,CURO,1989/05/27,KOSPI
40350,큐로컴,"CUROCOM Co.,Ltd",2002/01/10,KOSDAQ
51780,큐로홀딩스,"CUROHOLDINGS Co., Ltd.",2001/06/26,KOSDAQ
115180,큐리언트,"Qurient Co., Ltd.",2016/02/29,KOSDAQ
43090,큐브앤컴퍼니,"Cube&Company Co., Ltd.",2001/10/11,KOSDAQ
182360,큐브엔터,"CUBE ENTERTAINMENT, INC.",2013/11/21,KOSDAQ
66310,큐에스아이,"Q.S.I Co., Ltd.",2006/11/24,KOSDAQ
136660,큐엠씨,QMC,2014/07/01,KONEX
16600,큐캐피탈,"Q Capital Partners Co., Ltd.",1993/06/21,KOSDAQ
26490K,크라운제과우,CROWN(1P),2017/04/11,KOSPI
264900,크라운제과,CROWN,2017/04/11,KOSPI
5745,크라운해태홀딩스우,CROWNHAITAI Holdings(1P),1994/11/22,KOSPI
5740,크라운해태홀딩스,CROWNHAITAI Holdings,1976/06/30,KOSPI
215570,크로넥스,CRONEX,2015/12/28,KONEX
43590,크로바하이텍,"CLOVER HITECHNOLOGY CO., LTD",2001/12/20,KOSDAQ
114120,크루셜텍,"Crucialtec Co., Ltd.",2010/07/21,KOSDAQ
110790,크리스에프앤씨,"CreaS F&C Co., Ltd.",2018/10/01,KOSDAQ
83790,크리스탈지노믹스,CrystalGenomics,2006/01/06,KOSDAQ
45520,크린앤사이언스,"Clean & Science Co., Ltd",2000/12/05,KOSDAQ
36170,클라우드에어,"Cloud Air Co.,Ltd.",1999/12/21,KOSDAQ
214150,클래시스,CLASSYS Inc.,2015/04/03,KOSDAQ
352770,클리노믹스,Clinomics Inc.,2020/12/04,KOSDAQ
237880,클리오,"CLIO Cosmetics Co., Ltd",2016/11/09,KOSDAQ
139670,키네마스터,KineMaster Corporation,2011/12/02,KOSDAQ
20120,키다리스튜디오,KidariStudio,1996/07/03,KOSPI
311270,키움제5호스팩,Kiwoom No.5 Special Purpose Acquisition Company,2018/12/26,KOSDAQ
39490,키움증권,KIWOOM Securities,2009/08/03,KOSPI
12170,키위미디어그룹,Kiwi Media Group,1989/12/20,KOSPI
54780,키이스트,"KEYEAST Co., Ltd.",2003/11/14,KOSDAQ
219130,타이거일렉,"TigerElec Co.,Ltd.",2015/09/25,KOSDAQ
180060,탑선,TOPSUN,2017/10/27,KONEX
65130,탑엔지니어링,Top Engineering Company Limited,2003/01/29,KOSDAQ
14580,태경비케이,TAEKYUNG BK,1991/03/07,KOSPI
15890,태경산업,TaekyungIndustrial,1996/01/30,KOSPI
6890,태경케미컬,"TAEKYUNGCHEMICALCO.,LTD",2003/01/28,KOSPI
23160,태광,T. K. CORPORATION,1994/09/07,KOSDAQ
3240,태광산업,TaekwangIndustrial,1975/12/27,KOSPI
11280,태림포장,Tailim Packaging,1988/12/20,KOSPI
53620,태양,TAEYANG Corporation,2001/08/07,KOSDAQ
4105,태양금속우,TaeyangMetalIndustrial(1P),1990/01/08,KOSPI
4100,태양금속,TaeyangMetalIndustrial,1976/05/25,KOSPI
116100,태양기계,"Sun Machinery Co.,LTD",2013/07/01,KONEX
9410,태영건설,TAEYOUNG ENGINEERING & CONSTRUCTION,1989/11/13,KOSPI
9415,태영건설우,TAEYOUNG ENGINEERING & CONSTRUCTION(1P),1994/11/22,KOSPI
44490,태웅,"TAEWOONG CO., LTD.",2001/11/08,KOSDAQ
124560,태웅로직스,"Taewoong Logistics Co., Ltd.",2019/12/10,KOSDAQ
1420,태원물산,TaewonMulsan,1975/06/24,KOSPI
7980,태평양물산,PAN-PACIFIC,1994/12/27,KOSPI
191420,테고사이언스,"Tego Science, Inc.",2014/11/06,KOSDAQ
73640,테라사이언스,"TERA SCIENCE Co.,LTD",2004/01/06,KOSDAQ
182690,테라셈,"TerraSem Co., Ltd.",2014/10/30,KOSDAQ
66700,테라젠이텍스,"THERAGEN ETEX CO.,LTD.",2004/05/27,KOSDAQ
95610,테스,"TES CO., LTD.",2008/05/20,KOSDAQ
131970,테스나,TESNA Inc.,2013/10/22,KOSDAQ
55490,테이팩스,TAPEX,2017/10/31,KOSPI
308700,테크엔,TECHEN,2018/12/21,KONEX
89030,테크윙,"Techwing, Inc.",2011/11/10,KOSDAQ
258050,테크트랜스,Tech Trans,2018/07/13,KONEX
54450,텔레칩스,Telechips Inc.,2004/12/10,KOSDAQ
91440,텔레필드,"Telefield, Inc.",2008/02/01,KOSDAQ
78000,텔코웨어,TELCOWARE,2004/07/20,KOSPI
200230,텔콘RF제약,TELCON RF PHARMACEUTICAL. Inc.,2014/11/24,KOSDAQ
214420,토니모리,"TONYMOLY Co., Ltd.",2015/07/10,KOSPI
215480,토박스코리아,"TOEBOX KOREA, Ltd.",2015/05/13,KOSDAQ
51360,토비스,"TOVIS Co., LTD",2004/11/19,KOSDAQ
45340,토탈소프트,TOTAL SOFT BANK LTD.,2002/07/19,KOSDAQ
108230,톱텍,"TOPTEC COMPANY,LIMITED",2009/09/15,KOSDAQ
79970,투비소프트,"TOBESOFT Co.,Ltd.",2010/06/01,KOSDAQ
199800,툴젠,ToolGen Incorporated,2014/06/25,KONEX
105550,트루윈,Truwin Company Limited,2014/07/11,KOSDAQ
26150,특수건설,TuksuConstruction,1997/08/06,KOSDAQ
322180,티라유텍,"THiRA-UTECH CO., LTD.",2019/10/31,KOSDAQ
117730,티로보틱스,"T-Robotics co., Ltd.",2018/11/29,KOSDAQ
33830,티비씨,TAEGU BROADCASTING CORPORATION,2010/11/29,KOSDAQ
57680,티사이언티픽,"T Scientific Co.,Ltd",2002/06/18,KOSDAQ
64760,티씨케이,"TOKAI CARBON KOREA CO., LTD",2003/08/18,KOSDAQ
246710,티앤알바이오팹,"T&R Biofab Co., Ltd",2018/11/28,KOSDAQ
340570,티앤엘,"T&L Co., LTD.",2020/11/20,KOSDAQ
277880,티에스아이,"TSI Co., Ltd.",2020/07/22,KOSDAQ
